loss_generator,loss_discriminator
0.075077,1.259720
0.067630,0.686585
0.068677,0.234774
0.066498,0.063403
0.065942,0.018104
0.065732,0.103979
0.063675,0.127875
0.067570,0.151593
0.066798,0.039180
0.065353,0.169760
0.061484,0.121367
0.064273,0.200298
0.061498,0.351651
0.062778,0.366892
0.057618,0.145725
0.061158,0.581772
0.059686,0.148214
0.061471,0.113733
0.059090,0.105894
0.052591,0.201925
0.058690,0.059797
0.056486,0.219812
0.057072,0.343086
0.055026,0.107450
0.057468,0.704567
0.060916,3.955709
0.046767,2.218768
0.044248,0.888874
0.046672,0.814098
0.045285,0.491605
0.047620,0.295662
0.045085,0.194505
0.045402,0.445736
0.041867,0.541172
0.041681,0.258314
0.046947,0.406739
0.047514,0.186894
0.044799,0.160966
0.046195,0.245521
0.040167,1.009282
0.046593,0.354792
0.041911,0.751928
0.041782,0.175699
0.041644,0.183448
0.047133,0.123041
0.043120,0.198011
0.043941,0.084764
0.041489,0.104906
0.040755,0.083448
0.042788,0.216915
0.043191,0.102625
0.047076,0.111145
0.044831,0.098586
0.045492,0.270039
0.045270,0.392650
0.045274,0.036759
0.047483,0.073269
0.044338,0.591513
0.045224,0.871012
0.045107,0.258990
0.042698,0.323904
0.043998,0.255641
0.046557,0.226009
0.041636,0.263994
0.044127,0.392857
0.044264,0.188735
0.047935,0.186534
0.047985,0.126407
0.046926,0.039152
0.042459,0.247890
0.042813,1.347170
0.045510,0.641626
0.038199,0.371168
0.043502,0.082642
0.045077,0.069883
0.040360,0.044657
0.040944,0.089727
0.046338,0.032285
0.042371,0.043975
0.037614,0.112656
0.044462,0.050880
0.040925,0.792146
0.048532,0.251561
0.046142,0.657713
0.047735,0.253320
0.040333,0.173596
0.045240,0.072404
0.040236,0.246965
0.043235,0.296183
0.040736,0.102254
0.039755,0.125579
0.044402,0.034800
0.044551,0.065640
0.043529,0.209270
0.046926,0.432396
0.044849,1.503057
0.046131,0.085403
0.044957,0.035088
0.042911,0.004862
0.040822,0.028490
0.039609,0.074310
0.040800,0.149039
0.040772,0.371470
0.045569,0.097902
0.045964,0.016737
0.046265,0.005602
0.042062,0.010548
0.040970,0.024324
0.045702,0.053321
0.045177,0.356999
0.045839,1.388643
0.042762,1.012310
0.045262,0.105792
0.042776,0.093961
0.040665,0.328068
0.043235,0.415685
0.037082,0.171610
0.040813,0.068114
0.041921,0.013082
0.040060,0.061898
0.043378,0.071820
0.040674,0.079458
0.041923,0.738435
0.044557,1.894729
0.040307,0.667843
0.043557,0.059319
0.044750,0.081591
0.040622,0.088123
0.039390,0.033276
0.038032,0.104420
0.041024,0.016408
0.039682,0.267749
0.038545,0.472149
0.043587,0.354791
0.040745,0.326351
0.048949,0.333533
0.046931,2.317158
0.042171,1.121849
0.043327,0.472539
0.037170,0.328526
0.039686,0.364278
0.036939,0.283023
0.040609,0.131015
0.038529,0.121735
0.037741,0.196584
0.041837,0.150039
0.036344,0.409121
0.043074,0.392107
0.040712,0.163814
0.041588,0.365974
0.039738,0.307534
0.043874,0.260930
0.041340,0.774889
0.044237,0.543086
0.043681,0.366823
0.040889,0.385803
0.046814,0.542273
0.043656,0.383904
0.045755,0.181034
0.042818,0.136251
0.042977,0.256890
0.045802,0.056108
0.044982,0.676223
0.040301,0.538193
0.048356,0.071389
0.040930,0.519928
0.040255,0.860526
0.044407,0.522228
0.042750,0.013808
0.040529,0.017479
0.037795,0.052316
0.039901,0.006958
0.040078,0.015438
0.041265,0.015791
0.040545,0.011024
0.039460,0.102524
0.038486,0.410231
0.046056,0.969088
0.042223,1.604793
0.040022,0.371787
0.039551,0.068538
0.037489,0.160091
0.037897,0.069121
0.038961,0.021663
0.039882,0.022379
0.041242,0.022243
0.039513,0.013055
0.038151,0.020405
0.038596,0.007031
0.038236,0.030467
0.040263,0.046428
0.039536,0.323687
0.043874,0.157499
0.042254,1.463663
0.046928,0.289637
0.039058,0.636134
0.041749,0.061984
0.041828,0.022715
0.043449,0.009966
0.042768,0.008690
0.037175,0.412051
0.041073,0.178238
0.042972,0.197904
0.041637,0.110239
0.043036,0.742906
0.044900,0.411171
0.046193,0.144823
0.047076,0.053083
0.039241,0.231787
0.042761,0.456521
0.041990,1.264852
0.044996,0.477297
0.037285,0.288412
0.040904,0.140686
0.041466,0.135550
0.044100,0.157605
0.042983,0.511730
0.045805,0.577284
0.052261,0.097844
0.048244,0.065697
0.041181,0.124835
0.043434,0.154344
0.043597,0.126554
0.047720,0.362268
0.043129,1.595572
0.040874,0.534934
0.044889,0.731927
0.038735,0.318406
0.036172,0.539513
0.038635,0.080008
0.042148,0.204971
0.040262,0.019009
0.037612,0.227601
0.039344,0.482619
0.040777,0.192550
0.042061,0.358270
0.041162,0.149890
0.044620,0.032362
0.039043,0.376659
0.042377,0.266773
0.043349,0.126573
0.041925,0.039326
0.037388,0.164907
0.039041,0.136536
0.042394,0.036501
0.044033,0.019588
0.039883,0.087799
0.041902,0.680639
0.045882,0.804381
0.047250,0.050753
0.044867,0.046242
0.041232,0.016247
0.040179,0.069587
0.039979,0.614801
0.044718,1.106850
0.038234,0.065894
0.036720,0.175665
0.037148,0.018485
0.041705,0.007022
0.039567,0.146983
0.038513,0.129895
0.040320,0.190174
0.043440,0.955410
0.042579,0.551189
0.039698,0.328070
0.038439,0.023455
0.037432,0.093951
0.037856,0.063790
0.038111,0.052719
0.038333,0.154806
0.042171,0.072468
0.042019,0.802440
0.042112,0.480118
0.044404,0.766512
0.037956,0.335916
0.042530,0.035422
0.042394,0.141047
0.040480,0.052388
0.038797,0.039875
0.039039,0.085681
0.039673,0.036277
0.041452,0.033021
0.041152,0.363171
0.045379,1.084562
0.040914,0.751919
0.044838,0.028261
0.040909,0.173937
0.036596,0.269998
0.037053,0.209443
0.037974,0.184283
0.039351,0.280397
0.038460,0.989669
0.042283,0.768344
0.042735,0.044681
0.040147,0.096639
0.033921,0.148111
0.041262,0.011939
0.037652,0.108559
0.037648,0.003785
0.036660,0.114326
0.043973,0.042931
0.044109,0.499195
0.039365,0.291664
0.047265,0.367512
0.042489,0.049088
0.041225,0.262326
0.045949,0.019632
0.040015,0.541027
0.043639,1.353768
0.044365,2.500255
0.039600,0.552415
0.039524,0.138059
0.037826,0.090668
0.036344,0.046079
0.036126,0.036991
0.034775,0.024340
0.034978,0.027605
0.036126,0.022282
0.034763,0.024664
0.035970,0.025618
0.037479,0.033790
0.035437,0.079213
0.039039,0.301417
0.043408,0.219635
0.042982,0.907836
0.047629,0.532778
0.038075,0.186639
0.041892,0.275062
0.041220,0.435523
0.037338,0.024026
0.037518,0.549286
0.041917,0.416825
0.044911,0.030479
0.040181,0.120254
0.043458,0.146303
0.048477,1.223049
0.040958,0.449715
0.043667,0.494186
0.034843,0.424754
0.041246,0.141337
0.040034,0.429615
0.040219,0.016480
0.038234,0.081265
0.037147,0.119299
0.040529,0.056140
0.044497,0.079854
0.041555,0.094814
0.038534,0.119460
0.042271,0.131568
0.044274,0.230246
0.040513,0.274869
0.049473,0.031019
0.043332,0.692365
0.042730,1.402904
0.041628,0.795575
0.038682,0.007257
0.037517,0.046360
0.036152,0.103650
0.038640,0.092078
0.040649,0.042949
0.039966,0.095291
0.040139,0.007526
0.037080,0.032882
0.041639,0.255649
0.043452,0.386326
0.041185,0.157131
0.041902,0.065898
0.046930,0.058970
0.044454,0.253999
0.044271,0.271105
0.050705,0.565093
0.045479,1.229832
0.045442,1.044227
0.042177,0.066573
0.039467,0.095483
0.039885,0.150397
0.038736,0.029469
0.041230,0.088879
0.036864,0.313112
0.039204,0.463959
0.045502,1.077298
0.038366,0.323348
0.039757,0.684580
0.042522,0.006442
0.040322,0.163376
0.039327,0.017810
0.038932,0.005615
0.039192,0.003046
0.037517,0.001163
0.034700,0.002197
0.037620,0.001091
0.033446,0.001952
0.036938,0.001275
0.036982,0.000783
0.035189,0.000664
0.036442,0.000722
0.035165,0.000901
0.035490,0.000902
0.038114,0.000780
0.037492,0.000514
0.035963,0.003307
0.036878,0.009090
0.036522,0.000670
0.037828,0.000568
0.036849,0.000717
0.036834,0.000626
0.035194,0.000633
0.035209,0.000647
0.034147,0.000702
0.036053,0.000783
0.035722,0.001392
0.033858,0.000783
0.034397,0.001336
0.037054,0.000752
0.035356,0.001435
0.035721,0.003066
0.032965,0.004525
0.037227,0.071275
0.037214,0.054543
0.042116,0.048382
0.046617,0.040946
0.044379,0.687159
0.043472,1.215994
0.040759,0.393227
0.042792,0.859329
0.042430,0.669689
0.039820,0.259057
0.037592,0.346016
0.039885,0.157146
0.038281,0.224204
0.039776,0.126763
0.039344,0.292098
0.043828,0.212754
0.043153,0.529583
0.044205,0.342392
0.043691,0.187396
0.040971,0.099005
0.039453,0.230003
0.041636,0.009103
0.044734,1.332341
0.039404,0.275676
0.040887,0.104309
0.041957,0.145839
0.038506,0.039235
0.039430,0.015516
0.036903,0.072968
0.040592,0.088999
0.043957,0.254955
0.040442,0.160690
0.045484,1.018978
0.042869,0.495913
0.036248,0.728326
0.038868,0.141467
0.043784,0.434280
0.036781,0.059585
0.031902,0.063604
0.036326,0.192058
0.036675,0.005977
0.037769,0.012315
0.038490,0.004332
0.038831,0.003181
0.035908,0.038949
0.034610,0.007038
0.034125,0.011588
0.035942,0.046560
0.035112,0.040300
0.036388,0.042215
0.038122,0.027637
0.040779,0.013874
0.038944,0.074027
0.044255,1.926474
0.042251,1.771514
0.040790,0.050686
0.036219,0.396769
0.035642,0.042063
0.032999,0.057086
0.030866,0.112072
0.032921,0.070048
0.033823,0.025340
0.035959,0.037548
0.034493,0.020704
0.035658,0.011166
0.038831,0.024856
0.037141,0.054098
0.036871,0.141277
0.035965,0.173958
0.037297,0.809322
0.042352,0.182916
0.039831,0.036675
0.035508,0.197020
0.041852,0.340655
0.040599,3.025803
0.039948,0.344092
0.038467,0.329809
0.035923,0.235262
0.035935,0.135377
0.038415,0.109898
0.036649,0.128489
0.040444,0.121439
0.040318,0.174265
0.044666,0.069279
0.042504,0.474759
0.036344,0.550753
0.045245,0.069286
0.045780,0.372408
0.039919,0.575829
0.045155,1.175527
0.042417,0.564435
0.042044,0.099097
0.043563,0.126195
0.040582,0.026191
0.036630,0.082528
0.040460,0.210649
0.043543,0.785102
0.041888,0.358810
0.040610,1.510368
0.041337,0.110714
0.039772,0.059179
0.037281,0.086858
0.036893,0.059146
0.037051,0.199238
0.040494,0.349202
0.042075,0.306361
0.043195,0.103952
0.045097,0.458773
0.037985,0.676753
0.043217,0.042801
0.040568,0.145010
0.039664,0.389843
0.041266,2.084155
0.039245,0.479871
0.039524,0.076878
0.038814,0.076097
0.039320,0.069065
0.037498,0.153138
0.038745,0.467711
0.040382,0.409490
0.044210,0.492175
0.045114,1.774867
0.044399,0.410848
0.042715,0.082090
0.042593,0.161688
0.039476,0.246845
0.044588,0.090589
0.039250,0.879576
0.043984,0.521556
0.038615,0.321192
0.035944,0.556023
0.034923,0.392426
0.040886,1.059130
0.039717,0.188743
0.041532,0.126375
0.039691,0.437074
0.039018,0.670360
0.040601,0.953345
0.039705,1.209110
0.044038,0.440865
0.037427,0.226119
0.036199,0.288888
0.038553,0.063049
0.039722,0.051984
0.037089,0.064806
0.034942,0.376113
0.040952,0.074688
0.038839,0.433233
0.040966,1.024189
0.038028,0.528443
0.043417,0.934768
0.044127,0.121678
0.040628,0.336669
0.042208,0.381676
0.044277,1.092546
0.038298,0.386987
0.037365,0.077569
0.039139,0.015280
0.034538,0.470933
0.033810,0.435532
0.039013,0.026932
0.041046,0.233830
0.037835,0.150061
0.032666,0.025281
0.032044,0.638478
0.039143,0.122217
0.041009,0.435660
0.038809,0.026097
0.032871,0.014908
0.036317,0.200451
0.036781,0.056351
0.041924,0.085500
0.039110,0.203032
0.036541,0.364729
0.043548,0.416341
0.047271,1.905857
0.038506,0.765271
0.039880,0.141856
0.040198,0.019664
0.036118,0.044668
0.033510,1.004689
0.037505,0.686204
0.037116,0.550818
